Date,Open,High,Low,Close,High_Last_7_Days,Days_Since_High_Last_7_Days,%_Diff_From_High_Last_7_Days,Low_Last_7_Days,Days_Since_Low_Last_7_Days,%_Diff_From_Low_Last_7_Days,High_Next_5_Days,%_Diff_From_High_Next_5_Days,Low_Next_5_Days,%_Diff_From_Low_Next_5_Days
2018-12-02 00:00:00,4197.7,4318.79,4077.67,4143.86,4444.39,3,-6.762007835,3598.81,6,15.14528414,4159.01,-0.3642693814,3248,27.58189655
2018-12-03 00:00:00,4143.86,4159.01,3795.18,3871.41,4444.39,4,-12.89220793,3613.11,6,7.148965849,4082.68,-5.17478715,3248,19.19365764
2018-12-04 00:00:00,3871.41,4082.68,3770.92,3948.44,4444.39,5,-11.1590117,3770.92,0,4.70760451,3961.8,-0.3372204553,3248,21.56527094
2018-12-05 00:00:00,3948.44,3961.8,3719.19,3737.53,4444.39,6,-15.90454483,3719.19,0,0.4931181252,3883.43,-3.756988023,3248,15.07173645
2018-12-06 00:00:00,3737.53,3883.43,3467.92,3485.18,4331.07,6,-19.53073952,3467.92,0,0.497704676,3718.58,-6.276589451,3248,7.302339901
2018-12-07 00:00:00,3485.18,3576.11,3248,3420.57,4318.79,5,-20.79795498,3248,0,5.313115764,3718.58,-8.014080644,3295.21,3.804309892
2018-12-08 00:00:00,3420.57,3602.49,3295.21,3461.07,4318.79,6,-19.86019232,3248,1,6.560036946,3718.58,-6.924955225,3272.81,5.752243485
2018-12-09 00:00:00,3461.07,3718.58,3436.5,3592.84,4159.01,6,-13.61309542,3248,2,10.61699507,3645.49,-1.444250293,3180.97,12.94793726
2018-12-10 00:00:00,3592.84,3645.49,3416.77,3467.16,4082.68,6,-15.0763714,3248,3,6.747536946,3545.37,-2.205975681,3169.53,9.390351251
2018-12-11 00:00:00,3467.16,3483.58,3348.98,3401.02,3961.8,6,-14.15467717,3248,4,4.711206897,3545.37,-4.071507346,3169.53,7.303606528
2018-12-12 00:00:00,3401.02,3545.37,3380.48,3485.59,3883.43,6,-10.24455185,3248,5,7.314963054,3639.65,-4.232824585,3169.53,9.971825476
2018-12-13 00:00:00,3485.59,3493.76,3272.81,3305.11,3718.58,4,-11.11902931,3248,6,1.758312808,3727.99,-11.34337807,3169.53,4.277605828
2018-12-14 00:00:00,3305.11,3333.24,3180.97,3235.48,3718.58,5,-12.99151827,3180.97,0,1.713628233,3969.7,-18.4956042,3169.53,2.080750143
2018-12-15 00:00:00,3235.48,3271.76,3169.53,3232.51,3718.58,6,-13.07138747,3169.53,0,1.987045398,4225.52,-23.50030292,3227.4,0.1583317841
2018-12-16 00:00:00,3232.51,3319.83,3227.4,3255.37,3645.49,6,-10.70144206,3169.53,1,2.70828798,4247.71,-23.36176434,3239.06,0.5035411508
